image_path,posture_type,category,landmarks
SittingData\good\2\52.jpg,,good,"[0.5385433435440063, -0.041499555110931396, 0.955742359161377, 0.527330756187439, -0.07124197483062744, 0.9264630675315857, 0.5232971906661987, -0.06970423460006714, 0.9217759370803833, 0.5291554927825928, -0.06900238990783691, 0.9477866888046265, 0.5342441201210022, -0.07290476560592651, 0.9605931043624878, 0.5353585481643677, -0.07278579473495483, 0.9741666913032532, 0.5362476110458374, -0.0727607011795044, 0.9839587807655334, 0.4992961287498474, -0.05484527349472046, 0.9861012101173401, 0.523835301399231, -0.06160372868180275, 0.9854966998100281, 0.5294054746627808, -0.004866242408752441, 0.9651433229446411, 0.533378005027771, -0.010196268558502197, 0.9813418388366699, 0.5024521350860596, 0.10250100493431091, 0.9995490908622742, 0.4602225720882416, 0.12277597188949585, 0.9999144077301025, 0.5192878842353821, 0.3692578971385956, 0.03538137674331665, 0.5364319682121277, 0.4210210144519806, 0.9973872303962708, 0.57271409034729, 0.5548344850540161, 0.011539190076291561, 0.7303057909011841, 0.35801273584365845, 0.9961313009262085, 0.578528642654419, 0.6118587255477905, 0.01925584487617016, 0.8069207072257996, 0.36365512013435364, 0.9925670623779297, 0.5856971740722656, 0.5919697880744934, 0.019000528380274773, 0.8143964409828186, 0.34954971075057983, 0.9925416707992554, 0.582897961139679, 0.5710017085075378, 0.019441988319158554, 0.7980663776397705, 0.3462355136871338, 0.9823164343833923, 0.5589436292648315, 0.5555915236473083, 0.9995065927505493, 0.5147730112075806, 0.5977212190628052, 0.9997431635856628, 0.7687609791755676, 0.6877761483192444, 0.1040051206946373, 0.7832764387130737, 0.7452623844146729, 0.7847089171409607, 0.7175094485282898, 1.1079537868499756, 0.06616432219743729, 0.6838850378990173, 1.105722188949585, 0.4907161593437195, 0.6967042684555054, 1.159048080444336, 0.12933878600597382, 0.6495322585105896, 1.1599540710449219, 0.3831862807273865, 0.756286084651947, 1.2358800172805786, 0.08073779940605164, 0.7446327209472656, 1.2085423469543457, 0.4381612539291382]"
SittingData\good\2\53.jpg,,good,"[0.5474612712860107, -0.029934823513031006, 0.7336767911911011, 0.5435707569122314, -0.057830631732940674, 0.6038232445716858, 0.5419911742210388, -0.05975622311234474, 0.5863850116729736, 0.5406638979911804, -0.0606805719435215, 0.7055147290229797, 0.5421368479728699, -0.05694615840911865, 0.7492333054542542, 0.5389574766159058, -0.05815696716308594, 0.8143948912620544, 0.5355216860771179, -0.0597231388092041, 0.8886035084724426, 0.5162930488586426, -0.06578707695007324, 0.9080402851104736, 0.511256992816925, -0.06468290090560913, 0.8942283987998962, 0.5372341275215149, 0.0030472278594970703, 0.8110290169715881, 0.5341068506240845, -0.0023696422576904297, 0.8818720579147339, 0.5170843005180359, 0.11145445704460144, 0.9990259408950806, 0.4624355137348175, 0.11451321840286255, 0.9996837377548218, 0.5227295756340027, 0.3942722678184509, 0.025491202250123024, 0.5242846608161926, 0.4363301396369934, 0.9837803840637207, 0.5510292649269104, 0.5768269896507263, 0.00619000056758523, 0.71612948179245, 0.3796094059944153, 0.9698801636695862, 0.5540119409561157, 0.6439694762229919, 0.009987492114305496, 0.7758253812789917, 0.4085460305213928, 0.9511891007423401, 0.5579807758331299, 0.6224064230918884, 0.009756841696798801, 0.794646143913269, 0.3685995042324066, 0.9504919052124023, 0.5553379058837891, 0.5976588726043701, 0.009940143674612045, 0.7768704891204834, 0.3648407757282257, 0.8977128863334656, 0.5567187666893005, 0.5741186141967773, 0.9993038177490234, 0.5070026516914368, 0.6111066341400146, 0.9995263814926147, 0.7738677263259888, 0.690443217754364, 0.056307386606931686, 0.7607433795928955, 0.7620400190353394, 0.5824944972991943, 0.6913476586341858, 1.0944043397903442, 0.023145856335759163, 0.658377468585968, 1.0996073484420776, 0.17143961787223816, 0.6703367233276367, 1.1357064247131348, 0.04557677358388901, 0.623826801776886, 1.140181064605713, 0.12275590002536774, 0.7086617946624756, 1.2241730690002441, 0.025675315409898758, 0.7133828401565552, 1.2145030498504639, 0.13372807204723358]"
SittingData\good\2\54.jpg,,good,"[0.5440453886985779, -0.03894197940826416, 0.9426639080047607, 0.5381199717521667, -0.06309777498245239, 0.9089414477348328, 0.5362802743911743, -0.06530481576919556, 0.8989609479904175, 0.5346513390541077, -0.06656670570373535, 0.9382020235061646, 0.5376918315887451, -0.06028759479522705, 0.9534175395965576, 0.5350455045700073, -0.06051230430603027, 0.965920627117157, 0.5321581959724426, -0.06106537953019142, 0.9830359816551208, 0.5123368501663208, -0.07079952955245972, 0.9849515557289124, 0.5110162496566772, -0.0635603666305542, 0.9857942461967468, 0.535645067691803, -0.007340848445892334, 0.9707499742507935, 0.5349308252334595, -0.0025701522827148438, 0.9850636720657349, 0.5265812277793884, 0.12188106775283813, 0.9994940757751465, 0.46623116731643677, 0.11968716233968735, 0.9999113082885742, 0.5388801693916321, 0.3818317651748657, 0.021251987665891647, 0.5210679173469543, 0.44204181432724, 0.9941532015800476, 0.6071310639381409, 0.5326688289642334, 0.004851699806749821, 0.7068538665771484, 0.38566118478775024, 0.9937940835952759, 0.620108962059021, 0.5755776166915894, 0.008807320147752762, 0.7723166942596436, 0.3953039348125458, 0.9884136319160461, 0.6300792694091797, 0.5552115440368652, 0.009075834415853024, 0.7833020687103271, 0.367390513420105, 0.9886019825935364, 0.6236926317214966, 0.5404935479164124, 0.010021978989243507, 0.7656830549240112, 0.3597775995731354, 0.9749489426612854, 0.555069088935852, 0.5547695159912109, 0.9986732006072998, 0.5061483979225159, 0.6007981896400452, 0.9993791580200195, 0.7745736837387085, 0.6691096425056458, 0.1114366427063942, 0.7325161099433899, 0.7379969358444214, 0.6792606115341187, 0.7141024470329285, 1.0235226154327393, 0.030909642577171326, 0.676232635974884, 1.0273241996765137, 0.1936914324760437, 0.695568323135376, 1.0630525350570679, 0.04737778380513191, 0.6444712281227112, 1.0739670991897583, 0.15380915999412537, 0.7347205281257629, 1.132321834564209, 0.040798500180244446, 0.7405281066894531, 1.0985901355743408, 0.17713584005832672]"
SittingData\good\2\55.jpg,,good,"[0.5385879278182983, -0.03639143705368042, 0.9156472682952881, 0.5338348150253296, -0.05720162391662598, 0.8458414673805237, 0.5317869186401367, -0.0594601072371006, 0.8372545838356018, 0.5299737453460693, -0.06080925464630127, 0.896966278553009, 0.5336846113204956, -0.06365317106246948, 0.9230272173881531, 0.5337759852409363, -0.06330269575119019, 0.9447302222251892, 0.5283219218254089, -0.053958117961883545, 0.9700527787208557, 0.49998369812965393, -0.04217761754989624, 0.9712197780609131, 0.5067423582077026, -0.054409146308898926, 0.9728264808654785, 0.5314128994941711, -0.0022960305213928223, 0.9473187327384949, 0.5333589315414429, -0.005335986614227295, 0.9715120196342468, 0.5159171223640442, 0.10457193851470947, 0.9994575381278992, 0.4656967222690582, 0.11734247207641602, 0.999852180480957, 0.5361646413803101, 0.3768771290779114, 0.016183903440833092, 0.517113447189331, 0.4386131763458252, 0.991248607635498, 0.6153266429901123, 0.5304778218269348, 0.005644712597131729, 0.7042754292488098, 0.38895899057388306, 0.98968106508255, 0.6326650977134705, 0.5738978981971741, 0.01044825091958046, 0.7687295079231262, 0.40153664350509644, 0.9820522665977478, 0.6432641744613647, 0.5571585893630981, 0.010644990019500256, 0.7768006920814514, 0.3728206157684326, 0.9820141196250916, 0.6350478529930115, 0.5415838956832886, 0.012075063772499561, 0.7579246163368225, 0.3632117509841919, 0.9615753293037415, 0.5559490919113159, 0.5552175045013428, 0.9990750551223755, 0.5039578676223755, 0.5972699522972107, 0.9993951320648193, 0.7699808478355408, 0.695160984992981, 0.1723974645137787, 0.7102464437484741, 0.7614574432373047, 0.5719467997550964, 0.6721527576446533, 1.0801221132278442, 0.04942870885133743, 0.6312897801399231, 1.032618761062622, 0.08215576410293579, 0.6495620608329773, 1.1182644367218018, 0.07339605689048767, 0.5985990762710571, 1.0681538581848145, 0.06944166123867035, 0.680220365524292, 1.1982147693634033, 0.05064665153622627, 0.6793526411056519, 1.1169219017028809, 0.07915415614843369]"
SittingData\good\2\56.jpg,,good,"[0.546406626701355, -0.030275344848632812, 0.9749968647956848, 0.541714608669281, -0.053578078746795654, 0.9542450308799744, 0.5398355722427368, -0.055852413177490234, 0.9523220658302307, 0.5381811261177063, -0.057168662548065186, 0.9695917367935181, 0.5412565469741821, -0.051203787326812744, 0.9796658158302307, 0.5384498238563538, -0.0518040657043457, 0.9857439398765564, 0.5354015231132507, -0.05273914337158203, 0.9922375082969666, 0.5148191452026367, -0.06318151950836182, 0.9929109215736389, 0.5127461552619934, -0.057261645793914795, 0.993756890296936, 0.5395735502243042, -0.0002282857894897461, 0.9826734066009521, 0.5356584191322327, -0.00430065393447876, 0.991927981376648, 0.5262141227722168, 0.1207704246044159, 0.9994463324546814, 0.46485471725463867, 0.11679577827453613, 0.9998629093170166, 0.5512989163398743, 0.3806323707103729, 0.03807000070810318, 0.5179732441902161, 0.4413394331932068, 0.9883561730384827, 0.6615120768547058, 0.41801488399505615, 0.011198271997272968, 0.7049245834350586, 0.39299285411834717, 0.9754194021224976, 0.6950402855873108, 0.43393194675445557, 0.021840689703822136, 0.7696498036384583, 0.4043809473514557, 0.9643620848655701, 0.7059009671211243, 0.4124084413051605, 0.02378297783434391, 0.7757662534713745, 0.3733173906803131, 0.9661098122596741, 0.6939984560012817, 0.4072517156600952, 0.02857922576367855, 0.7584580183029175, 0.36356914043426514, 0.9376469850540161, 0.5573427081108093, 0.5633156299591064, 0.9987793564796448, 0.5043055415153503, 0.608536422252655, 0.9992731213569641, 0.772423505783081, 0.6832255721092224, 0.2589762508869171, 0.7264329195022583, 0.7726559638977051, 0.7715896964073181, 0.6962693929672241, 1.0673086643218994, 0.062086086720228195, 0.6655965447425842, 1.074136734008789, 0.21134132146835327, 0.6749408841133118, 1.1064716577529907, 0.08586185425519943, 0.6331099271774292, 1.118665099143982, 0.16328977048397064, 0.7091153264045715, 1.1896555423736572, 0.068079374730587, 0.7321986556053162, 1.1531453132629395, 0.18659012019634247]"
SittingData\good\2\57.jpg,,good,"[0.5469163656234741, -0.03151962161064148, 0.9924597144126892, 0.5427431464195251, -0.0523625910282135, 0.9868500232696533, 0.5406925678253174, -0.05438908934593201, 0.9875546097755432, 0.538838267326355, -0.055462926626205444, 0.9927175045013428, 0.5425995588302612, -0.049482256174087524, 0.993811845779419, 0.539767861366272, -0.04956236481666565, 0.995425283908844, 0.5367268323898315, -0.05000397562980652, 0.9973084926605225, 0.5152772068977356, -0.05842503905296326, 0.9984158277511597, 0.5140849947929382, -0.05113896727561951, 0.997717022895813, 0.5386087894439697, -0.0005362927913665771, 0.9960107803344727, 0.5358983874320984, -0.003423035144805908, 0.9979605674743652, 0.5204235911369324, 0.11696740984916687, 0.9999018907546997, 0.4685867130756378, 0.1128171980381012, 0.9999525547027588, 0.5609292984008789, 0.3501960039138794, 0.19595052301883698, 0.5176028609275818, 0.44567787647247314, 0.9976692795753479, 0.7269160747528076, 0.41770443320274353, 0.10147926211357117, 0.708179771900177, 0.3955027461051941, 0.9973151087760925, 0.7616153955459595, 0.4232460856437683, 0.1264086812734604, 0.7713004350662231, 0.40261709690093994, 0.9948713779449463, 0.7742558717727661, 0.41223326325416565, 0.13410800695419312, 0.7751379609107971, 0.3766016364097595, 0.9949407577514648, 0.7589185237884521, 0.4136826694011688, 0.15556535124778748, 0.7585138082504272, 0.37056243419647217, 0.9895465970039368, 0.5426086783409119, 0.5450535416603088, 0.9995006322860718, 0.5083783864974976, 0.5888938903808594, 0.9997140765190125, 0.7723181247711182, 0.6525148153305054, 0.26191702485084534, 0.7760339379310608, 0.7335284948348999, 0.9557933211326599, 0.7048819065093994, 0.9747223854064941, 0.07830553501844406, 0.6891355514526367, 1.0246601104736328, 0.7151199579238892, 0.6838798522949219, 1.0108739137649536, 0.12329427152872086, 0.6585583090782166, 1.0652987957000732, 0.6095938086509705, 0.7243869304656982, 1.0793744325637817, 0.09932070970535278, 0.7461661100387573, 1.1057720184326172, 0.6265754103660583]"
SittingData\good\2\58.jpg,,good,"[0.5560892224311829, -0.02173560857772827, 0.9476743936538696, 0.5524804592132568, -0.044738829135894775, 0.915231466293335, 0.5507654547691345, -0.04706406593322754, 0.9158939123153687, 0.5492781400680542, -0.04837316274642944, 0.9543524384498596, 0.5516071319580078, -0.04342442750930786, 0.9545547366142273, 0.5486974120140076, -0.04479032754898071, 0.9626389145851135, 0.5455582141876221, -0.04655611515045166, 0.9785419702529907, 0.5253966450691223, -0.05851560831069946, 0.9885107278823853, 0.5221090912818909, -0.05601412057876587, 0.9807195067405701, 0.5464242100715637, 0.008313149213790894, 0.9732595682144165, 0.54258793592453, 0.003508627414703369, 0.9849621057510376, 0.5285453200340271, 0.12111636996269226, 0.9996645450592041, 0.4704611003398895, 0.10849815607070923, 0.9997387528419495, 0.588840901851654, 0.3530493378639221, 0.11997821182012558, 0.5189424753189087, 0.4438962936401367, 0.992207944393158, 0.7172271013259888, 0.4025365114212036, 0.10193955898284912, 0.7092097401618958, 0.3961810767650604, 0.9863429665565491, 0.7773807048797607, 0.4162745475769043, 0.1322639137506485, 0.7691316604614258, 0.4051235616207123, 0.975212812423706, 0.7857235074043274, 0.3925464153289795, 0.14323845505714417, 0.7761901617050171, 0.37408173084259033, 0.9765467643737793, 0.7612141370773315, 0.3869730234146118, 0.16206017136573792, 0.7589877843856812, 0.365335077047348, 0.9569034576416016, 0.5539004802703857, 0.5645747780799866, 0.998301088809967, 0.503309965133667, 0.6093339920043945, 0.998492956161499, 0.7833333611488342, 0.676344633102417, 0.18239501118659973, 0.7686994075775146, 0.7370599508285522, 0.757902204990387, 0.7073037624359131, 1.035876750946045, 0.08600849658250809, 0.672407865524292, 1.0263442993164062, 0.23883812129497528, 0.6838148832321167, 1.0778477191925049, 0.1163984090089798, 0.6407991051673889, 1.0627965927124023, 0.19075119495391846, 0.7281234264373779, 1.1438136100769043, 0.09124253690242767, 0.7304306626319885, 1.1172765493392944, 0.20627711713314056]"
SittingData\good\2\59.jpg,,good,"[0.555248498916626, -0.04803752899169922, 0.9862455129623413, 0.5480306148529053, -0.07509559392929077, 0.9766768217086792, 0.5462248921394348, -0.07727760076522827, 0.9745413064956665, 0.5446383953094482, -0.07850414514541626, 0.9838922023773193, 0.5472724437713623, -0.07260739803314209, 0.9894583225250244, 0.5442531704902649, -0.07298934459686279, 0.9924652576446533, 0.5409872531890869, -0.07369458675384521, 0.9960085153579712, 0.5201911330223083, -0.08183377981185913, 0.9957429766654968, 0.5177347660064697, -0.07503670454025269, 0.9963931441307068, 0.544579267501831, -0.013446927070617676, 0.9892663955688477, 0.5427265763282776, -0.01756572723388672, 0.9950527548789978, 0.5258647203445435, 0.11303991079330444, 0.9995015859603882, 0.46923092007637024, 0.10947871208190918, 0.9999136924743652, 0.5455631613731384, 0.37746089696884155, 0.020454658195376396, 0.5176237225532532, 0.4408981502056122, 0.992466390132904, 0.6494629979133606, 0.4679568111896515, 0.005852143280208111, 0.7069588303565979, 0.3982807695865631, 0.9881047606468201, 0.6724360585212708, 0.49241143465042114, 0.011905274353921413, 0.7696560621261597, 0.4102594256401062, 0.981046736240387, 0.6841175556182861, 0.4733825623989105, 0.012663989327847958, 0.7782573103904724, 0.37909746170043945, 0.9818112254142761, 0.673786997795105, 0.46478694677352905, 0.014776554889976978, 0.7585048675537109, 0.36897408962249756, 0.963205099105835, 0.5542239546775818, 0.5552159547805786, 0.9988369345664978, 0.5028473734855652, 0.5974094867706299, 0.9993791580200195, 0.7772780656814575, 0.6725272536277771, 0.24769233167171478, 0.7199674844741821, 0.7550883293151855, 0.6992344856262207, 0.7034618258476257, 1.047323226928711, 0.0703701600432396, 0.6608226299285889, 1.0475722551345825, 0.1857576072216034, 0.6810749173164368, 1.0898913145065308, 0.10023549944162369, 0.6282932758331299, 1.0938920974731445, 0.15749989449977875, 0.7270910739898682, 1.159498691558838, 0.08803723007440567, 0.7254657745361328, 1.1188781261444092, 0.1890919804573059]"
SittingData\good\2\60.jpg,,good,"[0.5462324023246765, -0.03546786308288574, 0.9748772382736206, 0.5396774411201477, -0.06281095743179321, 0.9580832123756409, 0.5386409163475037, -0.060138169676065445, 0.9605132341384888, 0.5412788391113281, -0.06384170055389404, 0.9755917191505432, 0.5377269387245178, -0.06484419107437134, 0.9776630401611328, 0.5348584055900574, -0.06414574384689331, 0.9831530451774597, 0.537844717502594, -0.05421656370162964, 0.9900628924369812, 0.5194585919380188, -0.07356870174407959, 0.9938604831695557, 0.5165300369262695, -0.06047344207763672, 0.9911485910415649, 0.541532576084137, -0.002337217330932617, 0.9823583960533142, 0.5352281332015991, -0.007845163345336914, 0.9890072345733643, 0.528476893901825, 0.12221676111221313, 0.9995716214179993, 0.4698823392391205, 0.10768982768058777, 0.9997143149375916, 0.5518559217453003, 0.38952988386154175, 0.07439135760068893, 0.5181596279144287, 0.4474180042743683, 0.9834924936294556, 0.6879266500473022, 0.4154193699359894, 0.027710286900401115, 0.7122783660888672, 0.39975467324256897, 0.9686892628669739, 0.7186765074729919, 0.4462396800518036, 0.04889576509594917, 0.7748245000839233, 0.4113149642944336, 0.9573131799697876, 0.7294403910636902, 0.42447876930236816, 0.05365125834941864, 0.7835699319839478, 0.38020092248916626, 0.9600228071212769, 0.7157297134399414, 0.4187662601470947, 0.06267949938774109, 0.7624260187149048, 0.3697251081466675, 0.9315676093101501, 0.5482311248779297, 0.5832877159118652, 0.9979625940322876, 0.48975929617881775, 0.6416237354278564, 0.9982051849365234, 0.7863152027130127, 0.6856210231781006, 0.3553462624549866, 0.7055169939994812, 0.7893993854522705, 0.7518784999847412, 0.707366943359375, 1.085514783859253, 0.14416879415512085, 0.6308963298797607, 1.0684340000152588, 0.14614839851856232, 0.68502277135849, 1.1334013938903809, 0.15844124555587769, 0.5966185927391052, 1.100475788116455, 0.1278914511203766, 0.7251390814781189, 1.201350212097168, 0.14749059081077576, 0.6883392930030823, 1.1649422645568848, 0.14427968859672546]"
SittingData\good\2\61.jpg,,good,"[0.5535559058189392, -0.03227055072784424, 0.9708057045936584, 0.5458135008811951, -0.058864712715148926, 0.9550559520721436, 0.5497778654098511, -0.05559879541397095, 0.9559524655342102, 0.5477545857429504, -0.05682826042175293, 0.9781222343444824, 0.5478311777114868, -0.061124324798583984, 0.9747580885887146, 0.5459311008453369, -0.060361266136169434, 0.9777408838272095, 0.5443480610847473, -0.06016569957137108, 0.9869261980056763, 0.5225033760070801, -0.06381791830062866, 0.9947203397750854, 0.522870659828186, -0.05829894542694092, 0.9872404932975769, 0.544407844543457, 0.001881420612335205, 0.9858463406562805, 0.5429685115814209, -0.004416763782501221, 0.9908636212348938, 0.5274524688720703, 0.12043219804763794, 0.9998233914375305, 0.4724898934364319, 0.11100071668624878, 0.999729573726654, 0.5920408368110657, 0.34968703985214233, 0.15935420989990234, 0.5202252268791199, 0.43982958793640137, 0.9884059429168701, 0.7246659994125366, 0.40325745940208435, 0.1484626829624176, 0.7123091220855713, 0.3981417119503021, 0.9787353873252869, 0.7815903425216675, 0.41626501083374023, 0.1849173754453659, 0.772614598274231, 0.4086504280567169, 0.9643537998199463, 0.7873426079750061, 0.3986053764820099, 0.20138287544250488, 0.7790548801422119, 0.3790242671966553, 0.965908944606781, 0.7656064629554749, 0.39215800166130066, 0.2239554524421692, 0.7624116539955139, 0.36881357431411743, 0.9388267993927002, 0.5450680255889893, 0.5676885843276978, 0.9980841875076294, 0.4966224133968353, 0.622610867023468, 0.9980717897415161, 0.774222195148468, 0.6746289730072021, 0.11039040237665176, 0.7650371193885803, 0.7507082223892212, 0.6939699649810791, 0.6807654500007629, 1.0342979431152344, 0.044173356145620346, 0.6534615159034729, 1.047544002532959, 0.170229971408844, 0.6556247472763062, 1.0721368789672852, 0.06152081489562988, 0.6190971732139587, 1.0823822021484375, 0.15021005272865295, 0.6893213987350464, 1.1453416347503662, 0.04857589304447174, 0.708597719669342, 1.1359896659851074, 0.1485329121351242]"
SittingData\good\2\62.jpg,,good,"[0.5450789332389832, -0.02941739559173584, 0.9672110676765442, 0.5351483821868896, -0.05479156970977783, 0.941541850566864, 0.5327017903327942, -0.053222596645355225, 0.9479812979698181, 0.5410265326499939, -0.05860787630081177, 0.972405195236206, 0.5379658937454224, -0.0558241605758667, 0.9673161506652832, 0.5374495387077332, -0.054755568504333496, 0.973783016204834, 0.53697669506073, -0.05404788255691528, 0.9833934903144836, 0.5184857845306396, -0.0627208948135376, 0.9942538142204285, 0.5159467458724976, -0.055364906787872314, 0.9844686388969421, 0.5381540060043335, 0.0024187862873077393, 0.983482837677002, 0.5376527905464172, -0.0013408064842224121, 0.9890350699424744, 0.5277528762817383, 0.11771580576896667, 0.9998728036880493, 0.47073063254356384, 0.11876899003982544, 0.9997860789299011, 0.5951042771339417, 0.35256847739219666, 0.20554275810718536, 0.5206886529922485, 0.4523713290691376, 0.9860526323318481, 0.7323553562164307, 0.4024297297000885, 0.14791247248649597, 0.7111238837242126, 0.408319890499115, 0.9769754409790039, 0.7800552845001221, 0.4201630651950836, 0.17992812395095825, 0.7753521203994751, 0.41954678297042847, 0.9657436609268188, 0.7870895862579346, 0.40478837490081787, 0.19309422373771667, 0.7838893532752991, 0.3963525891304016, 0.9673539400100708, 0.7718082666397095, 0.3968070149421692, 0.22253262996673584, 0.7664951086044312, 0.3847018778324127, 0.943321704864502, 0.5395543575286865, 0.5771399140357971, 0.9983939528465271, 0.4975971579551697, 0.6313366889953613, 0.9986746311187744, 0.7716293931007385, 0.6746152639389038, 0.07159218192100525, 0.7708142995834351, 0.752859354019165, 0.8078703880310059, 0.6642730832099915, 1.024951696395874, 0.023826787248253822, 0.6505759954452515, 1.071385145187378, 0.33564791083335876, 0.6381086707115173, 1.06028413772583, 0.04334906488656998, 0.6143651604652405, 1.1114649772644043, 0.28023451566696167, 0.6669514179229736, 1.1412307024002075, 0.03004131093621254, 0.7022830247879028, 1.166386604309082, 0.2881700098514557]"
SittingData\good\2\63.jpg,,good,"[0.5544147491455078, -0.03371107578277588, 0.9914520978927612, 0.5500835180282593, -0.05461478233337402, 0.9840279221534729, 0.5477505922317505, -0.056246161460876465, 0.984358549118042, 0.545617401599884, -0.05688410997390747, 0.9908519387245178, 0.5505132079124451, -0.053212523460388184, 0.9923600554466248, 0.5477562546730042, -0.05395287275314331, 0.9943407773971558, 0.544772744178772, -0.055069923400878906, 0.9967383742332458, 0.5203105211257935, -0.05972599983215332, 0.9978309273719788, 0.5210877060890198, -0.057356834411621094, 0.9973219037055969, 0.5440100431442261, -0.002710014581680298, 0.99481201171875, 0.5427600741386414, -0.005494028329849243, 0.997479259967804, 0.5250899791717529, 0.12417751550674438, 0.9998652935028076, 0.4765984117984772, 0.11646494269371033, 0.9999494552612305, 0.5900072455406189, 0.3526161313056946, 0.1530826836824417, 0.5226907730102539, 0.44808053970336914, 0.9974852800369263, 0.7287426590919495, 0.41255509853363037, 0.09602155536413193, 0.72010737657547, 0.4118281900882721, 0.9975581169128418, 0.7680396437644958, 0.44744136929512024, 0.12157828360795975, 0.7797367572784424, 0.4288020431995392, 0.9951262474060059, 0.795781135559082, 0.416972815990448, 0.13071143627166748, 0.7924261093139648, 0.4074094295501709, 0.9952828288078308, 0.7663328647613525, 0.4390798807144165, 0.15390095114707947, 0.7762868404388428, 0.39464011788368225, 0.9903777837753296, 0.5428749918937683, 0.570297360420227, 0.9981593489646912, 0.5040185451507568, 0.6169813871383667, 0.9990251064300537, 0.7671808004379272, 0.6740078330039978, 0.0960521250963211, 0.7824820280075073, 0.7441296577453613, 0.8625209331512451, 0.7057478427886963, 1.0428078174591064, 0.032866936177015305, 0.6916787028312683, 1.0763943195343018, 0.443037748336792, 0.6847785115242004, 1.0899205207824707, 0.06646738201379776, 0.6576292514801025, 1.1297309398651123, 0.3997318148612976, 0.7302209138870239, 1.1422361135482788, 0.045095134526491165, 0.7622160315513611, 1.1481170654296875, 0.3747762441635132]"
SittingData\good\2\65.jpg,,good,"[0.5468108654022217, -0.03490853309631348, 0.9500342607498169, 0.5447782874107361, -0.061586737632751465, 0.9125353693962097, 0.5425141453742981, -0.0636017918586731, 0.913078248500824, 0.5404908657073975, -0.06464815139770508, 0.9566193222999573, 0.5445844531059265, -0.05957365036010742, 0.9557706713676453, 0.5416373610496521, -0.0602228082716465, 0.9630444049835205, 0.5384570360183716, -0.06123220920562744, 0.9787744283676147, 0.5143752694129944, -0.06999200582504272, 0.9906138181686401, 0.5131062865257263, -0.06556779146194458, 0.9818325042724609, 0.538765549659729, -0.0025275349617004395, 0.9785561561584473, 0.535968542098999, -0.005726814270019531, 0.9876782298088074, 0.525741696357727, 0.1292038857936859, 0.999800980091095, 0.4648929536342621, 0.13285264372825623, 0.9998281002044678, 0.5702581405639648, 0.39286869764328003, 0.09176497161388397, 0.5283647179603577, 0.45802584290504456, 0.9918351173400879, 0.7230092287063599, 0.439291775226593, 0.08283591270446777, 0.7259237170219421, 0.44405144453048706, 0.9826071858406067, 0.7740752100944519, 0.4566536247730255, 0.10473658889532089, 0.7873939871788025, 0.46743088960647583, 0.9677984714508057, 0.7903839349746704, 0.4439488351345062, 0.11405802518129349, 0.7990899682044983, 0.4453508257865906, 0.9692752361297607, 0.7702586650848389, 0.4312843680381775, 0.13232749700546265, 0.7782344818115234, 0.42959749698638916, 0.9406576156616211, 0.5539335012435913, 0.5768144130706787, 0.9984856247901917, 0.5092275738716125, 0.6181584596633911, 0.9988527297973633, 0.7668799161911011, 0.6832563281059265, 0.050286028534173965, 0.7737299203872681, 0.7202227711677551, 0.7023724317550659, 0.6617577075958252, 1.0195972919464111, 0.01697894185781479, 0.6612398624420166, 1.070806860923767, 0.20343561470508575, 0.6341215968132019, 1.0558444261550903, 0.03566631302237511, 0.6256691813468933, 1.1184406280517578, 0.14651450514793396, 0.6741320490837097, 1.1294677257537842, 0.02072739414870739, 0.7194069027900696, 1.1610026359558105, 0.16949905455112457]"
